group_id	project_id	group_name
31	16	Nottingham University Hosptials NHS Trust
32	16	Torbay and south Devon Hospital
35	16	Yeovil District Hospital
37	16	Manchester University NHS Foundation Trust
39	16	York Teaching Hospital NHS Foundation Trust
40	16	Barnsley Hospital NHS Foundation Trust
41	16	Medway NHSFT
42	16	Royal Surrey NHSFT
43	16	Airedale General Hospital
44	16	University Hospital Plymouth
45	16	Royal Free Hospital
46	16	Ipswich Hospital
47	16	Birmingham Women's & Children's NHS Foundation Trust
49	16	Oxford University Hospitals NHSFT
51	16	Milton Keynes University Hospital
52	16	Whiston Hospital
55	16	Salford Royal NHSFT
56	16	Royal Papworth Hospital NHSFT
57	16	Poole Hospital NHST
60	16	The Newcastle upon Tyne Hospitals NHSFT
62	16	Frimley Health NHSFT
65	16	Southmead Hospital
71	16	Musgrove Park Hospital
74	16	Hillingdon Hospital
75	16	Guys and St Thomas
80	16	Brighton and Sussex University Hospitals NHST
84	16	Sheffield Teaching Hospitals NHS Foundation Trust
89	16	Northern Devon Healthcare Trust
93	16	Kettering General Hospital NHSFT
95	16	Gloucester Royal Hospital
98	16	Homerton University Hospital
99	16	Alder Hey Children's Hospital
101	16	Queen Elizabeth University Hospital, Glasgow University Hospital Monklands Airdrie
106	16	East Kent Hospitals NHSFT
107	16	Royal Preston Hospital
109	16	Aberdeen Royal Infirmary
110	16	The Pennine Acute Hospitals NHS Trust
111	16	University Hospital Southampton NHS Foundation Trust
114	16	Northwick Park
115	16	Maidstone and Tunbridge Wells NHST
117	16	Ninewells Hospital
120	16	West Suffolk Hospital
121	16	Hull University Teaching Hospitals
122	16	Blackpool Teaching Hospitals NHSFT
123	16	Royal Berkshire Hospital
127	16	Royal Devon and Exeter Hospital
128	16	Royal Liverpool & Broadgreen University Hospitals NHSFT
130	16	The Princess Alexandra Hospital
132	16	King's College Hospital
136	16	University Hospitals Coventry and Warwickshire NHS Trust
140	16	Chelsea & Westminster Hospital
144	16	University Hospital of North Tees
145	16	Epsom & St Helier NHSFT
146	16	George Eliot Hospital
147	16	Portsmouth Hospitals NHS Trust
150	16	Mid and South Essex University Hospitals Group
151	16	Hampshire Hospitals NHS Foundation Trust
152	16	West Hertfordshire Hospitals NHST
153	16	Barts Health NHS Trust
156	16	Hereford Hospital
160	16	Aintree University Hospital
168	16	Imperial College Healthcare NHST
179	16	Tameside Hospital Integrated Care NHSFT
180	16	Royal United Hospitals Bath NHSFT
181	16	Stockport NHSFT
182	16	University Hospitals of Leicester
183	16	Glasgow Royal Infirmary
187	16	Walsall Healthcare NHST
192	16	Barking Havering and Redbridge University NHST
